19/11/2018 05:12:02 | SUCCESS | Delete Content Partner (19) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='19'
19/11/2018 05:12:16 | SUCCESS | Delete Content Partner (18) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='18'
19/11/2018 05:12:26 | SUCCESS | Delete Content Partner (17) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='17'
19/11/2018 05:12:53 | SUCCESS | Delete Content Partner (13) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='13'
19/11/2018 05:13:15 | SUCCESS | Delete Content Partner (1) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='1'
19/11/2018 05:13:21 | SUCCESS | Delete Content Partner (2) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='2'
19/11/2018 05:13:32 | SUCCESS | Delete Content Partner (5) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='5'
19/11/2018 05:13:39 | SUCCESS | Delete Content Partner (6) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='6'
19/11/2018 05:13:44 | SUCCESS | Delete Content Partner (9) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='9'
19/11/2018 05:13:51 | SUCCESS | Delete Content Partner (10) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='10'
19/11/2018 05:16:09 | SUCCESS | Delete Content Partner (14) | By-Jeeoguru_ott503 | DELETE FROM content_partner WHERE contentpartnerid='14'
