11/12/2018 06:52:24 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 06:52:24 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 07:18:11 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 07:18:11 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 07:19:49 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 07:19:49 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 07:26:19 | SUCCESS | Sync Category | By-varun_ott025 | 
11/12/2018 07:41:35 | SUCCESS | Category video Entry Priority Update(145-1) | By-varun_ott025 | 
11/12/2018 07:42:23 | SUCCESS | Category video Entry Priority Update(145-1) | By-varun_ott025 | 
11/12/2018 07:44:13 | SUCCESS | Category video Entry Priority Insert(145-1) | By-varun_ott025 | 
11/12/2018 08:43:28 | SUCCESS | Category video Entry Priority Insert(416-1) | By-varun_ott025 | 
11/12/2018 08:43:28 | SUCCESS | Category video Entry Priority Insert(416-2) | By-varun_ott025 | 
11/12/2018 08:43:28 | SUCCESS | Category video Entry Priority Insert(416-3) | By-varun_ott025 | 
11/12/2018 08:43:28 | SUCCESS | Category video Entry Priority Insert(416-4) | By-varun_ott025 | 
11/12/2018 08:44:01 | SUCCESS | Updtate MetaData(0_3xl7n1rm) | By-varun_ott025 | update entry set name='Bike Riding',thumbnail='http://ott.planetcast.in/p/101/sp/10100/thumbnail/entry_id/0_3xl7n1rm/version/100002',longdescription='test video',
        duration='13',type='1',tag='test, video, car, automobile, vehicle',category='ORIGINALS>WEB SERIES',categoryid='416',
        updated_at='2018-12-11 08:49:23',shortdescription='test',
        director='x,z,y',producer='x,z',cast='z,y',crew='NULL',sub_genre='Vehicle',
        language='English',pgrating='U',video_status='inactive',custom_data=''
        where entryid='0_3xl7n1rm'
11/12/2018 09:19:44 | SUCCESS | Save New video using UCG(0_56jiv0nn) | By-varun_ott025 | 
11/12/2018 10:36:32 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:36:32 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:36:52 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:36:53 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:37:20 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:37:20 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:38:34 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:38:34 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:38:35 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:38:35 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:38:37 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:38:37 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:38:37 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:38:37 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:38:38 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:38:38 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 10:39:02 | SUCCESS | Category video Entry Priority Update(146-2) | By-varun_ott025 | 
11/12/2018 10:39:02 | SUCCESS | Category video Entry Priority Update(146-1) | By-varun_ott025 | 
11/12/2018 11:19:10 | SUCCESS | Category video Entry Priority Insert(137-1) | By-varun_ott025 | 
11/12/2018 11:19:10 | SUCCESS | Category video Entry Priority Insert(137-0) | By-varun_ott025 | 
11/12/2018 11:20:29 | SUCCESS | Category video Entry Priority Insert(137-1) | By-varun_ott025 | 
11/12/2018 11:20:30 | SUCCESS | Category video Entry Priority Insert(137-0) | By-varun_ott025 | 
11/12/2018 11:21:48 | SUCCESS | Category video Entry Priority Insert(137-1) | By-varun_ott025 | 
11/12/2018 11:21:58 | SUCCESS | Category video Entry Priority Update(137-1) | By-varun_ott025 | 
11/12/2018 11:21:58 | SUCCESS | Category video Entry Priority Insert(137-2) | By-varun_ott025 | 
11/12/2018 11:22:14 | SUCCESS | Category video Entry Priority Update(137-2) | By-varun_ott025 | 
11/12/2018 11:22:14 | SUCCESS | Category video Entry Priority Update(137-1) | By-varun_ott025 | 
11/12/2018 12:07:05 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:07:05 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:08:09 | SUCCESS | Category video Entry Priority Update(138-1) | By-varun_ott025 | 
11/12/2018 12:08:09 | SUCCESS | Category video Entry Priority Update(138-2) | By-varun_ott025 | 
11/12/2018 12:08:36 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:08:36 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:09:12 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:09:12 | SUCCESS | Category video Entry Priority Insert(138-0) | By-varun_ott025 | 
11/12/2018 12:10:57 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:10:58 | SUCCESS | Category video Entry Priority Insert(138-0) | By-varun_ott025 | 
11/12/2018 12:13:19 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:13:19 | SUCCESS | Category video Entry Priority Insert(138-0) | By-varun_ott025 | 
11/12/2018 12:19:08 | SUCCESS | Category video Entry Priority Update(138-1) | By-varun_ott025 | 
11/12/2018 12:19:08 | SUCCESS | Category video Entry Priority Update(138-0) | By-varun_ott025 | 
11/12/2018 12:20:55 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:20:55 | SUCCESS | Category video Entry Priority Insert(138-0) | By-varun_ott025 | 
11/12/2018 12:23:17 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:23:17 | SUCCESS | Category video Entry Priority Insert(138-0) | By-varun_ott025 | 
11/12/2018 12:27:22 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:27:22 | SUCCESS | Category video Entry Priority Insert(138-0) | By-varun_ott025 | 
11/12/2018 12:28:37 | SUCCESS | Category video Entry Priority Insert(138-1) | By-varun_ott025 | 
11/12/2018 12:28:37 | SUCCESS | Category video Entry Priority Insert(138-2) | By-varun_ott025 | 
11/12/2018 12:29:22 | SUCCESS | Category video Entry Priority Update(138-2) | By-varun_ott025 | 
11/12/2018 12:29:22 | SUCCESS | Category video Entry Priority Update(138-1) | By-varun_ott025 | 
11/12/2018 12:29:25 | SUCCESS | Category video Entry Priority Update(138-2) | By-varun_ott025 | 
11/12/2018 12:29:25 | SUCCESS | Category video Entry Priority Update(138-1) | By-varun_ott025 | 
11/12/2018 12:30:55 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
11/12/2018 12:30:55 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 12:30:55 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 12:30:55 | SUCCESS | Category video Entry Priority Insert(142-4) | By-varun_ott025 | 
11/12/2018 12:30:55 | SUCCESS | Category video Entry Priority Insert(142-5) | By-varun_ott025 | 
11/12/2018 12:30:56 | SUCCESS | Category video Entry Priority Insert(142-6) | By-varun_ott025 | 
11/12/2018 12:34:00 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 12:34:00 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:34:00 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:34:00 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:34:00 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 12:34:00 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
11/12/2018 12:36:10 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 12:36:10 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:36:10 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:36:10 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 12:36:10 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 12:36:10 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
