21/01/2019 12:26:04 | SUCCESS | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 12:26:10 | SUCCESS | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 12:37:38 | ERROR-SQL | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 12:38:32 | ERROR-SQL | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 12:39:59 | ERROR-SQL | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 12:41:50 | ERROR-SQL | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 12:42:34 | SUCCESS | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 12:45:52 | SUCCESS | update Slider Detail(0_rnj38ww3,'') | By-jeeyaho_ott333 | 
21/01/2019 12:57:49 | SUCCESS | update Slider Detail(0_rnj38ww3,'') | By-jeeyaho_ott333 | 
21/01/2019 13:53:50 | SUCCESS | Add New Slider Image() | By-jeeyaho_ott333 | 
21/01/2019 14:06:12 | SUCCESS | update Slider Detail(0_rnj38ww3,'') | By-jeeyaho_ott333 | 
